,llama_s_val,olmo_s_val,stable_s_val,llama_confidence,olmo_confidence,stable_confidence,lowest_s_val_model,lowest_s_val_model_answer,highest_confidence_model,highest_confidence_model_answer,is_base_model_correct
0,0.437823474407196,0.4148988723754883,0.2689414024353027,0.76,0.86,0.96,stable,True,stable,True,False
1,0.5,0.4455295205116272,0.2450850009918213,0.65,0.8200000000000001,0.97,stable,True,stable,True,True
2,0.468790590763092,0.3629692196846008,0.2689414024353027,0.71,0.92,0.96,stable,True,stable,True,True
3,0.437823474407196,0.3415824770927429,0.377540647983551,0.76,0.95,0.89,olmo,True,olmo,True,True
4,0.3923367857933044,0.3276683092117309,0.468790590763092,0.86,0.96,0.8200000000000001,olmo,False,olmo,False,True
5,0.2942149639129638,0.4532618522644043,0.2227001190185547,0.98,0.79,0.98,stable,False,llama,False,False
6,0.437823474407196,0.2309197783470153,0.377540647983551,0.76,0.99,0.89,olmo,False,olmo,False,False
7,0.4532618522644043,0.4532618522644043,0.2942149639129638,0.71,0.79,0.9299999999999999,stable,True,stable,True,True
8,0.3073580265045166,0.3557749390602112,0.3486450910568237,0.98,0.9299999999999999,0.91,llama,False,llama,False,False
9,0.2942149639129638,0.3208212852478027,0.437823474407196,0.98,0.97,0.84,llama,False,llama,False,False
10,0.4073333740234375,0.4263215661048889,0.1919327974319458,0.83,0.85,0.98,stable,True,stable,True,True
11,0.377540647983551,0.2568320631980896,0.3073580265045166,0.89,0.99,0.9299999999999999,olmo,False,olmo,False,False
12,0.4073333740234375,0.4225046634674072,0.2942149639129638,0.83,0.85,0.9299999999999999,stable,True,stable,True,True
13,0.468790590763092,0.3380771279335022,0.4073333740234375,0.71,0.95,0.87,olmo,False,olmo,False,True
14,0.4073333740234375,0.3702253699302673,0.3486450910568237,0.83,0.92,0.91,stable,True,olmo,True,True
15,0.5,0.4225046634674072,0.2018132209777832,0.65,0.85,0.98,stable,True,stable,True,True
16,0.334589421749115,0.2942149639129638,0.4073333740234375,0.96,0.98,0.87,olmo,False,olmo,False,False
17,0.3629692196846008,0.4301473498344421,0.2450850009918213,0.89,0.84,0.97,stable,True,stable,True,True
18,0.2814056277275085,0.4843800663948059,0.3208212852478027,0.99,0.75,0.9299999999999999,llama,False,llama,False,True
19,0.2814056277275085,0.3998116850852966,0.3486450910568237,0.99,0.89,0.91,llama,False,llama,False,True
20,0.4225046634674072,0.4726834893226623,0.2120687961578369,0.76,0.76,0.98,stable,True,stable,True,True
21,0.3073580265045166,0.2877678275108337,0.3486450910568237,0.98,0.98,0.91,olmo,False,llama,False,False
22,0.4225046634674072,0.4111108779907226,0.2337063550949096,0.76,0.87,0.98,stable,True,stable,True,True
23,0.377540647983551,0.4843800663948059,0.3486450910568237,0.89,0.75,0.91,stable,True,stable,True,True
24,0.3557749390602112,0.468790590763092,0.3486450910568237,0.9299999999999999,0.78,0.91,stable,True,llama,False,False
25,0.4073333740234375,0.3174262642860412,0.2942149639129638,0.83,0.97,0.9299999999999999,stable,True,olmo,False,True
26,0.4225046634674072,0.468790590763092,0.377540647983551,0.76,0.78,0.89,stable,True,stable,True,True
27,0.4073333740234375,0.468790590763092,0.2689414024353027,0.83,0.78,0.96,stable,True,stable,True,True
28,0.3073580265045166,0.3849121332168579,0.3208212852478027,0.98,0.91,0.9299999999999999,llama,False,llama,False,True
29,0.4073333740234375,0.4843800663948059,0.4073333740234375,0.83,0.75,0.87,llama,False,stable,True,True
30,0.4225046634674072,0.4225046634674072,0.2689414024353027,0.76,0.85,0.96,stable,True,stable,True,True
31,0.4225046634674072,0.4493926167488098,0.2942149639129638,0.76,0.81,0.9299999999999999,stable,True,stable,True,False
32,0.3557749390602112,0.377540647983551,0.3208212852478027,0.9299999999999999,0.92,0.9299999999999999,stable,True,llama,False,False
33,0.2942149639129638,0.4532618522644043,0.3208212852478027,0.98,0.79,0.9299999999999999,llama,False,llama,False,True
34,0.377540647983551,0.4921881556510925,0.1824255585670471,0.89,0.73,0.98,stable,True,stable,True,True
